catchTrial,actionExecuted,RTpress,congruency,SOAactual,delay,synchrony,RTsynchrony,respCatch,correctCatch,RTCatch,subject
0,2,0.375570845603943,1,-0.0500761127471924,0,1,0.970759391784668,NaN,NaN,NaN,5
0,2,0.39226288318634,1,0.0166920375823975,0,1,0.504459857940674,NaN,NaN,NaN,5
0,2,0.383916864395142,2,0.216996488571167,0,1,0.951916694641113,NaN,NaN,NaN,5
0,2,0.308802695274353,1,0.308802695274353,0,0,0.687004327774048,NaN,NaN,NaN,5
0,1,0.300456676483154,1,0.150228338241577,1,1,0.694711685180664,NaN,NaN,NaN,5
0,1,0.383916864395142,2,0.0166920375823975,1,1,1.6032817363739,NaN,NaN,NaN,5
0,2,0.32549473285675,2,0.125190281867981,0,1,1.14708876609802,NaN,NaN,NaN,5
0,1,0.342186770439148,2,-0.0250380563735962,1,1,1.08838105201721,NaN,NaN,NaN,5
1,1,0.408954920768738,1,-0.283764638900757,1,0,0.503161668777466,1,1,1.15244102478027,5
0,2,0.375570845603943,2,-0.100152225494385,0,0,1.32235527038574,NaN,NaN,NaN,5
0,2,0.400608901977539,1,0.208650469779968,0,1,0.792887210845947,NaN,NaN,NaN,5
0,2,0.317148714065552,1,-0.183612413406372,0,0,0.577531099319458,NaN,NaN,NaN,5
0,1,0.475723071098328,2,-0.358878808021545,1,0,0.51335072517395,NaN,NaN,NaN,5
0,1,0.317148714065552,2,-0.0417300939559936,1,0,0.667511463165283,NaN,NaN,NaN,5
0,1,0.442338995933533,1,-0.0333840751647949,1,0,0.527735233306885,NaN,NaN,NaN,5
0,1,0.32549473285675,2,0.175266394615173,1,1,0.516509294509888,NaN,NaN,NaN,5
0,1,0.534145202636719,1,-0.242034544944763,1,0,0.646172285079956,NaN,NaN,NaN,5
1,1,0.433992977142334,2,-0.116844263076782,1,0,0.57025671005249,0,1,1.10439395904541,5
0,1,0.358878808021545,2,-0.242034544944763,1,0,0.75969672203064,NaN,NaN,NaN,5
0,1,0.300456676483154,2,-0.0834601879119873,1,1,0.517711162567139,NaN,NaN,NaN,5
0,1,0.300456676483154,1,0.216996488571167,1,1,0.600617647171021,NaN,NaN,NaN,5
0,1,0.45903103351593,1,-0.32549473285675,1,0,0.83763313293457,NaN,NaN,NaN,5
0,2,0.400608901977539,2,-0.116844263076782,0,1,0.877740144729614,NaN,NaN,NaN,5
0,2,0.300456676483154,1,0.150228338241577,0,1,1.7611141204834,NaN,NaN,NaN,5
0,2,0.375570845603943,1,-0.0500761127471924,0,1,0.555272102355957,NaN,NaN,NaN,5
0,1,0.408954920768738,1,0.00834601879119873,1,1,0.619284391403198,NaN,NaN,NaN,5
0,1,0.383916864395142,2,0.216996488571167,1,1,2.00821280479431,NaN,NaN,NaN,5
1,1,0.317148714065552,2,0,1,1,0.550713539123535,0,1,1.07242608070374,5
0,2,0.400608901977539,2,-0.0667681503295898,0,1,0.743826150894165,NaN,NaN,NaN,5
0,2,0.383916864395142,1,-0.0584221315383911,0,1,0.98004674911499,NaN,NaN,NaN,5
0,1,0.425646958351135,2,0.0166920375823975,1,1,0.525370121002197,NaN,NaN,NaN,5
0,2,0.308802695274353,2,0.0250380563735962,0,1,1.12853264808655,NaN,NaN,NaN,5
0,2,0.383916864395142,2,0.0333840751647949,0,1,0.446879148483276,NaN,NaN,NaN,5
0,2,0.342186770439148,1,-0.00834601879119873,0,1,0.844782829284668,NaN,NaN,NaN,5
